Name: Beta-Straße, Instruction: Head north on Beta-Straße, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 176.7 meters, Time: 127.2 seconds
Name: -, Instruction: Turn left, Distance: 586.7 meters, Time: 422.4 seconds
Name: Tunnelweg, Instruction: Turn right onto Tunnelweg, Distance: 350.2 meters, Time: 252.2 seconds
Name: -, Instruction: Turn left, Distance: 61.2 meters, Time: 44.1 seconds
Name: -, Instruction: Keep left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 59.8 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Ahornstraße, Instruction: Turn right onto Ahornstraße, Distance: 65.5 meters, Time: 47.1 seconds
Name: Fichtenstraße, Instruction: Turn left onto Fichtenstraße, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
