Name: Clinton Street, Instruction: Head north on Clinton Street, Distance: 344.9 meters, Time: 248.3 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.2 seconds
Name: Beatrice Minden Lane, Instruction: Turn right onto Beatrice Minden Lane, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 271.3 meters, Time: 195.3 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Montrose Avenue, Instruction: Turn right onto Montrose Avenue, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 94.6 meters, Time: 68.1 seconds
Name: Crawford Street, Instruction: Turn right onto Crawford Street, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 101.9 meters, Time: 73.4 seconds
Name: Shaw Street, Instruction: Turn right onto Shaw Street, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 97.8 meters, Time: 70.4 seconds
Name: Roxton Road, Instruction: Turn right onto Roxton Road, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at Roxton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
