Name: Bentinck Drive, Instruction: Head east on Bentinck Drive, Distance: 227.9 meters, Time: 164.1 seconds
Name: -, Instruction: Turn left, Distance: 206.2 meters, Time: 148.4 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 330.7 meters, Time: 238.1 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 361.1 meters, Time: 260.0 seconds
Name: Dowland Street, Instruction: Turn right onto Dowland Street, Distance: 289.4 meters, Time: 208.4 seconds
Name: Mozart Place, Instruction: Turn left onto Mozart Place, Distance: 408.2 meters, Time: 293.9 seconds
Name: -, Instruction: Turn right, Distance: 130.7 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight right, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
