Name: Grant Street, Instruction: Head north on Grant Street, Distance: 48.7 meters, Time: 35.1 seconds
Name: Mckinley Road, Instruction: Turn right onto Mckinley Road, Distance: 145.1 meters, Time: 104.5 seconds
Name: Moor Street, Instruction: Turn right onto Moor Street, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 144.3 meters, Time: 103.9 seconds
Name: Loch Road, Instruction: Turn sharp right onto Loch Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: Doncaster Road, Instruction: Turn sharp left onto Doncaster Road, Distance: 121.5 meters, Time: 87.5 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
