Name: Sari Place, Instruction: Head southwest on Sari Place, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn right, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Keep left, Distance: 265.9 meters, Time: 191.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 631.2 meters, Time: 454.5 seconds
Name: Northwestern Path, Instruction: Turn right onto Northwestern Path, Distance: 39.6 meters, Time: 28.5 seconds
Name: Northwestern Path, Instruction: Turn right onto Northwestern Path, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 239.1 meters, Time: 172.2 seconds
Name: -, Instruction: Keep right, Distance: 6.3 meters, Time: 4.6 seconds
Name: Vadam Road, Instruction: Turn left onto Vadam Road, Distance: 52.4 meters, Time: 37.7 seconds
Name: Vadam Road, Instruction: Keep left onto Vadam Road, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 124.7 meters, Time: 89.7 seconds
Name: -, Instruction: Turn right, Distance: 147.7 meters, Time: 106.4 seconds
Name: -, Instruction: Turn right, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 207.6 meters, Time: 149.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
