Name: Ming Street, Instruction: Head west on Ming Street, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 404.1 meters, Time: 290.9 seconds
Name: -, Instruction: Turn slight right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 121.8 meters, Time: 87.7 seconds
Name: Upper Bank Street, Instruction: Turn right onto Upper Bank Street, Distance: 117.9 meters, Time: 84.9 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 304.8 meters, Time: 219.5 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Montgomery Street, Instruction: Turn slight right onto Montgomery Street, Distance: 6.6 meters, Time: 4.7 seconds
Name: Water Street, Instruction: Turn right onto Water Street, Distance: 248.1 meters, Time: 178.7 seconds
Name: Charter Street, Instruction: Turn right onto Charter Street, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
