Name: Rue d'Hebecourt, Instruction: Head northwest on Rue d'Hebecourt, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue Chauvelot, Instruction: Turn right onto Rue Chauvelot, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Rue Béranger, Instruction: Turn left onto Rue Béranger, Distance: 188.5 meters, Time: 135.7 seconds
Name: -, Instruction: Keep right, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Rue Eugène Varlin, Instruction: Turn right onto Rue Eugène Varlin, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 79.5 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 52.3 meters, Time: 37.6 seconds
Name: -, Instruction: Turn right, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Keep right, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: Rue Jean Bleuzen, D 130, Instruction: Turn left onto Rue Jean Bleuzen, D 130, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at Rue Jean Bleuzen, D 130, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
