Name: Cornelia Road, Instruction: Head east on Cornelia Road, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 174.6 meters, Time: 125.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: Cooyong Crescent, Instruction: Turn left onto Cooyong Crescent, Distance: 384.7 meters, Time: 277.0 seconds
Name: -, Instruction: Turn right, Distance: 980.2 meters, Time: 705.8 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 837.5 meters, Time: 603.0 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: Bulli Road, Instruction: Turn left onto Bulli Road, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at Bulli Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
