Name: Avenue de la Liberté, Instruction: Head northeast on Avenue de la Liberté, Distance: 74.1 meters, Time: 53.3 seconds
Name: Avenue de Gravelle, Instruction: Turn right onto Avenue de Gravelle, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Keep right, Distance: 56.2 meters, Time: 40.4 seconds
Name: Route de la Plaine, Instruction: Turn right onto Route de la Plaine, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Route Dom Pérignon, Instruction: Turn left onto Route Dom Pérignon, Distance: 228.8 meters, Time: 164.7 seconds
Name: Route Dom Pérignon, Instruction: Continue straight onto Route Dom Pérignon, Distance: 171.5 meters, Time: 123.5 seconds
Name: Route de la Ceinture du Lac Daumesnil, Instruction: Continue straight onto Route de la Ceinture du Lac Daumesnil, Distance: 41.9 meters, Time: 30.1 seconds
Name: Route de la Ceinture du Lac Daumesnil, Instruction: Keep right onto Route de la Ceinture du Lac Daumesnil, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Arrive at Route de la Ceinture du Lac Daumesnil, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
