Name: Defu Lane 11, Instruction: Head southeast on Defu Lane 11, Distance: 241.7 meters, Time: 174.0 seconds
Name: Defu Lane 12, Instruction: Turn right onto Defu Lane 12, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn right, Distance: 285.6 meters, Time: 205.6 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 287.4 meters, Time: 206.9 seconds
Name: Hougang Ave 3 Park Connector, Instruction: Turn left onto Hougang Ave 3 Park Connector, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Keep left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Ubi Road 2, Instruction: Turn left onto Ubi Road 2, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Keep left, Distance: 230.3 meters, Time: 165.8 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
