Name: Defu South Street 1, Instruction: Head south on Defu South Street 1, Distance: 655.5 meters, Time: 471.9 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Keep left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 506.9 meters, Time: 365.0 seconds
Name: -, Instruction: Turn left, Distance: 228.9 meters, Time: 164.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
