Name: Tengah Garden Walk, Instruction: Head northeast on Tengah Garden Walk, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 486.9 meters, Time: 350.6 seconds
Name: -, Instruction: Turn left, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn left, Distance: 691.8 meters, Time: 498.1 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Bukit Batok West Avenue 5, Instruction: Turn right onto Bukit Batok West Avenue 5, Distance: 571.3 meters, Time: 411.3 seconds
Name: Bukit Batok West Avenue 5, Instruction: Continue straight onto Bukit Batok West Avenue 5, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: Bukit Batok West Avenue 5, Instruction: Turn right onto Bukit Batok West Avenue 5, Distance: 314.6 meters, Time: 226.5 seconds
Name: -, Instruction: Arrive at Bukit Batok West Avenue 5, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
