Name: Dewson Street, Instruction: Head east on Dewson Street, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 398.8 meters, Time: 287.2 seconds
Name: -, Instruction: Turn slight right, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Keep right, Distance: 232.3 meters, Time: 167.2 seconds
Name: -, Instruction: Keep right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 298.0 meters, Time: 214.5 seconds
Name: -, Instruction: Keep left, Distance: 231.0 meters, Time: 166.3 seconds
Name: -, Instruction: Keep right, Distance: 145.9 meters, Time: 105.0 seconds
Name: -, Instruction: Turn right, Distance: 223.3 meters, Time: 160.8 seconds
Name: -, Instruction: Turn left, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Trinity Circle, Instruction: Turn right onto Trinity Circle, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Keep right, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 445.6 meters, Time: 320.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
