Name: Rue Sainte-Léonie, Instruction: Head northeast on Rue Sainte-Léonie, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Continue straight, Distance: 1.3 meters, Time: 0.9 seconds
Name: Place de la Garenne, Instruction: Continue straight onto Place de la Garenne, Distance: 66.4 meters, Time: 47.8 seconds
Name: Rue du Moulin des Lapins, Instruction: Turn slight left onto Rue du Moulin des Lapins, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Keep right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Keep left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Keep right, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn slight right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 232.4 meters, Time: 167.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: Rue du Commandant René Mouchotte, Instruction: Turn right onto Rue du Commandant René Mouchotte, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Keep right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
