Name: Florastraße, Instruction: Head northwest on Florastraße, Distance: 88.0 meters, Time: 63.3 seconds
Name: Rosamundenstraße, Instruction: Turn right onto Rosamundenstraße, Distance: 167.9 meters, Time: 120.9 seconds
Name: Postweg, Instruction: Turn left onto Postweg, Distance: 507.8 meters, Time: 365.6 seconds
Name: -, Instruction: Keep right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 332.0 meters, Time: 239.1 seconds
Name: -, Instruction: Turn right, Distance: 178.0 meters, Time: 128.2 seconds
Name: -, Instruction: Turn right, Distance: 477.8 meters, Time: 344.0 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.9 meters, Time: 11.5 seconds
Name: Truderinger Straße, Instruction: Turn right onto Truderinger Straße, Distance: 411.0 meters, Time: 295.9 seconds
Name: Truderinger Straße, Instruction: Keep left onto Truderinger Straße, Distance: 7.5 meters, Time: 5.4 seconds
Name: Truderinger Straße, Instruction: Keep right onto Truderinger Straße, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Truderinger Straße, Instruction: Turn left onto Truderinger Straße, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 223.0 meters, Time: 160.6 seconds
Name: -, Instruction: Keep right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
