Name: شارع طلعت مصطفى, Instruction: Head west on شارع طلعت مصطفى, Distance: 169.1 meters, Time: 121.7 seconds
Name: شارع ابو بكر الصديق, Instruction: Enter the roundabout and take the 2nd exit onto شارع ابو بكر الصديق, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: شارع ابو بكر الصديق, Instruction: Turn right onto شارع ابو بكر الصديق, Distance: 14.0 meters, Time: 10.1 seconds
Name: شارع ابو بكر الصديق الجانبى, Instruction: Turn left onto شارع ابو بكر الصديق الجانبى, Distance: 418.9 meters, Time: 301.6 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight right, Distance: 40.1 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: شارع عمر بن الخطاب الجانبى, Instruction: Turn right onto شارع عمر بن الخطاب الجانبى, Distance: 27.6 meters, Time: 19.9 seconds
Name: شارع عمر بن الخطاب, Instruction: Turn sharp left onto شارع عمر بن الخطاب, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: شارع عمر بن الخطاب, Instruction: Turn right onto شارع عمر بن الخطاب, Distance: 8.0 meters, Time: 5.7 seconds
Name: شارع عمر بن الخطاب الجانبى, Instruction: Turn sharp left onto شارع عمر بن الخطاب الجانبى, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 34.8 meters, Time: 25.0 seconds
Name: شارع عثمان بن عفان, Instruction: Enter the roundabout and take the 1st exit onto شارع عثمان بن عفان, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: شارع عثمان بن عفان, Instruction: Turn right onto شارع عثمان بن عفان, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 184.4 meters, Time: 132.8 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
