Name: Sheridan Avenue, Instruction: Head south on Sheridan Avenue, Distance: 346.9 meters, Time: 249.8 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Keep right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 119.0 meters, Time: 85.7 seconds
Name: Gladstone Avenue, Instruction: Turn right onto Gladstone Avenue, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 227.4 meters, Time: 163.7 seconds
Name: -, Instruction: Turn slight right, Distance: 549.1 meters, Time: 395.3 seconds
Name: -, Instruction: Turn right, Distance: 150.6 meters, Time: 108.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
