Name: Avenue de la Porte de Montmartre, Instruction: Head northwest on Avenue de la Porte de Montmartre, Distance: 74.6 meters, Time: 53.7 seconds
Name: Rue du Docteur Babinski, Instruction: Turn left onto Rue du Docteur Babinski, Distance: 359.8 meters, Time: 259.0 seconds
Name: Rue La Fontaine, Instruction: Keep right onto Rue La Fontaine, Distance: 239.6 meters, Time: 172.5 seconds
Name: Rue La Fontaine, Instruction: Keep right onto Rue La Fontaine, Distance: 20.6 meters, Time: 14.8 seconds
Name: Rue La Fontaine, Instruction: Turn sharp left onto Rue La Fontaine, Distance: 5.6 meters, Time: 4.0 seconds
Name: Rue La Fontaine, Instruction: Keep right onto Rue La Fontaine, Distance: 22.9 meters, Time: 16.5 seconds
Name: Rue Fructidor, Instruction: Turn right onto Rue Fructidor, Distance: 180.5 meters, Time: 130.0 seconds
Name: -, Instruction: Turn left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Keep left, Distance: 126.9 meters, Time: 91.4 seconds
Name: Rue Hélène et François Missoffe, Instruction: Turn left onto Rue Hélène et François Missoffe, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: Rue Floréal, Instruction: Turn left onto Rue Floréal, Distance: 223.7 meters, Time: 161.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Continue straight, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 193.6 meters, Time: 139.4 seconds
Name: Avenue des Plantations, Instruction: Turn left onto Avenue des Plantations, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Arrive at Avenue des Plantations, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
