Name: حارة عونى, Instruction: Head southwest on حارة عونى, Distance: 21.3 meters, Time: 15.3 seconds
Name: شارع الوسط, Instruction: Turn right onto شارع الوسط, Distance: 65.3 meters, Time: 47.0 seconds
Name: شارع المتحف, Instruction: Turn right onto شارع المتحف, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Keep left, Distance: 32.0 meters, Time: 23.1 seconds
Name: شارع منصور, Instruction: Turn slight left onto شارع منصور, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 224.4 meters, Time: 161.5 seconds
Name: شارع منصور, Instruction: Turn right onto شارع منصور, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 170.5 meters, Time: 122.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: شارع منصور, Instruction: Turn right onto شارع منصور, Distance: 309.3 meters, Time: 222.7 seconds
Name: -, Instruction: Turn left, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Turn slight left, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn left, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
