Name: Martin Crescent, Instruction: Head north on Martin Crescent, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 372.1 meters, Time: 267.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 306.3 meters, Time: 220.5 seconds
Name: -, Instruction: Keep left, Distance: 103.8 meters, Time: 74.7 seconds
Name: Balliol Street, Instruction: Turn right onto Balliol Street, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 168.3 meters, Time: 121.1 seconds
Name: -, Instruction: Keep right, Distance: 30.4 meters, Time: 21.9 seconds
Name: Kay Gardiner Beltline Trail, Instruction: Turn left onto Kay Gardiner Beltline Trail, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Keep right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Keep left, Distance: 373.1 meters, Time: 268.6 seconds
Name: -, Instruction: Keep right, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Keep left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Keep left, Distance: 105.5 meters, Time: 75.9 seconds
Name: -, Instruction: Keep left, Distance: 201.8 meters, Time: 145.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
