Name: Rua dos Pioneiros, Instruction: Head east on Rua dos Pioneiros, Distance: 43.0 meters, Time: 31.0 seconds
Name: Rua Riolândia, Instruction: Turn right onto Rua Riolândia, Distance: 50.0 meters, Time: 36.0 seconds
Name: Rua Araticum, Instruction: Turn right onto Rua Araticum, Distance: 227.8 meters, Time: 164.0 seconds
Name: -, Instruction: Turn left, Distance: 144.2 meters, Time: 103.8 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn left onto Estrada de Jacarepaguá, Distance: 128.9 meters, Time: 92.8 seconds
Name: Rua Lagoa Grande, Instruction: Turn left onto Rua Lagoa Grande, Distance: 7.3 meters, Time: 5.3 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn right onto Estrada de Jacarepaguá, Distance: 418.6 meters, Time: 301.4 seconds
Name: Rua Lagoa Santa, Instruction: Turn right onto Rua Lagoa Santa, Distance: 3.7 meters, Time: 2.7 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn left onto Estrada de Jacarepaguá, Distance: 91.7 meters, Time: 66.0 seconds
Name: Rua Flor de Lis, Instruction: Turn sharp left onto Rua Flor de Lis, Distance: 15.1 meters, Time: 10.9 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn sharp right onto Estrada de Jacarepaguá, Distance: 241.7 meters, Time: 174.0 seconds
Name: -, Instruction: Turn right, Distance: 279.5 meters, Time: 201.3 seconds
Name: Rua Aroeira, Instruction: Turn right onto Rua Aroeira, Distance: 19.2 meters, Time: 13.9 seconds
Name: Estrada de Jacarepaguá, Instruction: Turn right onto Estrada de Jacarepaguá, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
