Name: Boulevard du Montparnasse, Instruction: Head northwest on Boulevard du Montparnasse, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.3 seconds
Name: Rue Paul Séjourné, Instruction: Turn right onto Rue Paul Séjourné, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Notre-Dame-des-Champs, Instruction: Turn sharp right onto Rue Notre-Dame-des-Champs, Distance: 38.4 meters, Time: 27.7 seconds
Name: Rue Joseph Bara, Instruction: Turn left onto Rue Joseph Bara, Distance: 385.9 meters, Time: 277.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 113.2 meters, Time: 81.5 seconds
Name: -, Instruction: Keep left, Distance: 282.1 meters, Time: 203.1 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Boulevard Saint-Michel, Instruction: Turn left onto Boulevard Saint-Michel, Distance: 5.0 meters, Time: 3.6 seconds
Name: Boulevard Saint-Michel, Instruction: Continue straight onto Boulevard Saint-Michel, Distance: 96.5 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Keep right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Keep right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
