Name: Brookview Drive, Instruction: Head southwest on Brookview Drive, Distance: 10.4 meters, Time: 7.5 seconds
Name: Hikuawa Road, Instruction: Enter the roundabout and take the 3rd exit onto Hikuawa Road, Distance: 302.8 meters, Time: 218.0 seconds
Name: Ballindrait Drive, Instruction: Enter the roundabout and take the 1st exit onto Ballindrait Drive, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Charlestown Drive, Instruction: Turn right onto Charlestown Drive, Distance: 241.2 meters, Time: 173.6 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.9 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: Gurtin Road, Instruction: Turn right onto Gurtin Road, Distance: 107.5 meters, Time: 77.4 seconds
Name: Drumbuoy Drive, Instruction: Turn left onto Drumbuoy Drive, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Tannaghmore Drive, Instruction: Turn right onto Tannaghmore Drive, Distance: 146.1 meters, Time: 105.2 seconds
Name: Bushfield Drive, Instruction: Enter the roundabout and take the 1st exit onto Bushfield Drive, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 220.5 meters, Time: 158.7 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 117.4 meters, Time: 84.5 seconds
Name: Murphys Road, Instruction: Turn left onto Murphys Road, Distance: 164.8 meters, Time: 118.6 seconds
Name: Murphys Park Drive, Instruction: Turn right onto Murphys Park Drive, Distance: 334.8 meters, Time: 241.1 seconds
Name: -, Instruction: Arrive at Murphys Park Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
