Name: Waterworth Drive, Instruction: Head west on Waterworth Drive, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 136.5 meters, Time: 98.3 seconds
Name: Ibis Way, Instruction: Turn left onto Ibis Way, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Keep right, Distance: 128.3 meters, Time: 92.4 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 160.6 meters, Time: 115.6 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: The Waters, Instruction: Turn sharp right onto The Waters, Distance: 156.4 meters, Time: 112.6 seconds
Name: The Whitewater, Instruction: Turn right onto The Whitewater, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: The Freshwater, Instruction: Turn right onto The Freshwater, Distance: 238.4 meters, Time: 171.7 seconds
Name: -, Instruction: Continue straight, Distance: 157.0 meters, Time: 113.0 seconds
Name: Epacris Place, Instruction: Turn right onto Epacris Place, Distance: 170.6 meters, Time: 122.9 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Telopea Circuit, Instruction: Turn right onto Telopea Circuit, Distance: 22.3 meters, Time: 16.1 seconds
Name: Telopea Circuit, Instruction: Turn left onto Telopea Circuit, Distance: 94.6 meters, Time: 68.1 seconds
Name: Dodonea Circuit, Instruction: Turn right onto Dodonea Circuit, Distance: 236.7 meters, Time: 170.4 seconds
Name: Moluccana Street, Instruction: Turn left onto Moluccana Street, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
