Name: Sesamstraße, Instruction: Head northwest on Sesamstraße, Distance: 11.6 meters, Time: 8.3 seconds
Name: Bajuwarenstraße, Instruction: Turn left onto Bajuwarenstraße, Distance: 426.7 meters, Time: 307.2 seconds
Name: Bajuwarenstraße, Instruction: Turn left onto Bajuwarenstraße, Distance: 169.3 meters, Time: 121.9 seconds
Name: Münchner Straße, Instruction: Turn sharp left onto Münchner Straße, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.8 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 111.2 meters, Time: 80.0 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: Eichendorffring, Instruction: Turn slight right onto Eichendorffring, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 169.3 meters, Time: 121.9 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: Am Würmkanal, Instruction: Turn sharp right onto Am Würmkanal, Distance: 547.8 meters, Time: 394.4 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
