Name: An der Isar, Instruction: Head north on An der Isar, Distance: 126.2 meters, Time: 90.8 seconds
Name: Höllerer Berg, Instruction: Turn left onto Höllerer Berg, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn left, Distance: 260.5 meters, Time: 187.6 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Turn right, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: Harthauser Straße, Instruction: Keep left onto Harthauser Straße, Distance: 736.1 meters, Time: 530.0 seconds
Name: Harthauser Straße, Instruction: Continue straight onto Harthauser Straße, Distance: 354.8 meters, Time: 255.5 seconds
Name: Hermine-Bland-Straße, Instruction: Turn right onto Hermine-Bland-Straße, Distance: 168.3 meters, Time: 121.2 seconds
Name: Gabriel-Max-Straße, Instruction: Turn left onto Gabriel-Max-Straße, Distance: 100.8 meters, Time: 72.6 seconds
Name: Alois-Wohlmuth-Straße, Instruction: Turn right onto Alois-Wohlmuth-Straße, Distance: 144.3 meters, Time: 103.9 seconds
Name: Bei den Tannen, Instruction: Turn right onto Bei den Tannen, Distance: 91.3 meters, Time: 65.8 seconds
Name: Geiselgasteigstraße, Instruction: Turn left onto Geiselgasteigstraße, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
