Name: Gates Avenue, Instruction: Head east on Gates Avenue, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Oak Park Avenue, Instruction: Turn left onto Oak Park Avenue, Distance: 861.6 meters, Time: 620.3 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 205.5 meters, Time: 148.0 seconds
Name: -, Instruction: Keep right, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Keep right, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Keep right, Distance: 509.4 meters, Time: 366.8 seconds
Name: Glebemount Avenue, Instruction: Turn right onto Glebemount Avenue, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 190.6 meters, Time: 137.2 seconds
Name: -, Instruction: Keep left, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Keep left, Distance: 244.5 meters, Time: 176.0 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
