Name: Georg-Pickl-Weg, Instruction: Head east on Georg-Pickl-Weg, Distance: 68.1 meters, Time: 49.0 seconds
Name: Lahntalstraße, Instruction: Turn left onto Lahntalstraße, Distance: 43.1 meters, Time: 31.0 seconds
Name: Himmelschlüsselstraße, Instruction: Turn left onto Himmelschlüsselstraße, Distance: 178.7 meters, Time: 128.7 seconds
Name: Himmelschlüsselstraße, Instruction: Turn left onto Himmelschlüsselstraße, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Keep right, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Feldmochinger Straße, Instruction: Turn right onto Feldmochinger Straße, Distance: 114.7 meters, Time: 82.6 seconds
Name: Am Blütenanger, Instruction: Turn left onto Am Blütenanger, Distance: 154.7 meters, Time: 111.4 seconds
Name: Kuckucksblumenstraße, Instruction: Turn right onto Kuckucksblumenstraße, Distance: 201.2 meters, Time: 144.8 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Turn slight left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
