Name: West 52nd Avenue, Instruction: Head west on West 52nd Avenue, Distance: 86.5 meters, Time: 62.2 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Keep right, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Keep left, Distance: 279.0 meters, Time: 200.9 seconds
Name: West 51st Avenue, Instruction: Turn left onto West 51st Avenue, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Benton Street, Instruction: Turn right onto Benton Street, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 359.6 meters, Time: 258.9 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
