Name: Rainfarnstraße, Instruction: Head north on Rainfarnstraße, Distance: 768.8 meters, Time: 553.5 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 141.8 meters, Time: 102.1 seconds
Name: Wellenkampstraße, Instruction: Turn right onto Wellenkampstraße, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 52.7 meters, Time: 37.9 seconds
Name: Blodigstraße, Instruction: Turn left onto Blodigstraße, Distance: 566.3 meters, Time: 407.8 seconds
Name: -, Instruction: Turn left, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: Heinrich-Braun-Weg, Instruction: Turn left onto Heinrich-Braun-Weg, Distance: 159.8 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 23.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
