Name: Edward Edgar Street, Instruction: Head north on Edward Edgar Street, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 245.6 meters, Time: 176.8 seconds
Name: -, Instruction: Turn slight left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn slight right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 300.2 meters, Time: 216.2 seconds
Name: -, Instruction: Turn left, Distance: 350.0 meters, Time: 252.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn slight right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 699.6 meters, Time: 503.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
