Name: Earlswood Street, Instruction: Head south on Earlswood Street, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 160.6 meters, Time: 115.6 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn slight left, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 277.5 meters, Time: 199.8 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 234.4 meters, Time: 168.8 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
