Name: Bacherstraße, Instruction: Head east on Bacherstraße, Distance: 132.4 meters, Time: 95.3 seconds
Name: Traunsteiner Straße, Instruction: Turn left onto Traunsteiner Straße, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Continue straight, Distance: 11.9 meters, Time: 8.6 seconds
Name: Traunsteiner Straße, Instruction: Continue straight onto Traunsteiner Straße, Distance: 31.2 meters, Time: 22.4 seconds
Name: -, Instruction: Continue straight, Distance: 12.4 meters, Time: 8.9 seconds
Name: Traunsteiner Straße, Instruction: Continue straight onto Traunsteiner Straße, Distance: 50.1 meters, Time: 36.1 seconds
Name: Weißenseestraße, Instruction: Turn right onto Weißenseestraße, Distance: 428.8 meters, Time: 308.7 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: Forggenseestraße, Instruction: Turn right onto Forggenseestraße, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 132.3 meters, Time: 95.2 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: Schwanseestraße, Instruction: Turn left onto Schwanseestraße, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: Schwanseestraße, Instruction: Turn left onto Schwanseestraße, Distance: 146.3 meters, Time: 105.3 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: Giesinger Bahnhofplatz, Instruction: Continue straight onto Giesinger Bahnhofplatz, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Keep right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Keep left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Keep left, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 121.6 meters, Time: 87.6 seconds
Name: Ungsteiner Straße, Instruction: Turn slight right onto Ungsteiner Straße, Distance: 268.1 meters, Time: 193.0 seconds
Name: Werinherstraße, Instruction: Turn right onto Werinherstraße, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.1 seconds
Name: Werinherstraße, Instruction: Turn right onto Werinherstraße, Distance: 116.4 meters, Time: 83.8 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
