Name: Windsor Road, Instruction: Head south on Windsor Road, Distance: 53.5 meters, Time: 38.5 seconds
Name: Windsor Street, Instruction: Turn left onto Windsor Street, Distance: 65.2 meters, Time: 47.0 seconds
Name: Mowbray Place, Instruction: Turn right onto Mowbray Place, Distance: 224.9 meters, Time: 161.9 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 130.5 meters, Time: 94.0 seconds
Name: -, Instruction: Keep left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 525.4 meters, Time: 378.3 seconds
Name: -, Instruction: Keep left, Distance: 1167.6 meters, Time: 840.6 seconds
Name: Devonshire Street, Instruction: Turn right onto Devonshire Street, Distance: 56.2 meters, Time: 40.5 seconds
Name: Saywell Street, Instruction: Turn left onto Saywell Street, Distance: 247.7 meters, Time: 178.3 seconds
Name: -, Instruction: Arrive at Saywell Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
