Name: Avenida Canal de Apatlaco, Instruction: Head west on Avenida Canal de Apatlaco, Distance: 336.5 meters, Time: 242.3 seconds
Name: Avenida Río Churubusco, Instruction: Turn right onto Avenida Río Churubusco, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.1 seconds
Name: Avenida Río Churubusco, Instruction: Turn slight right onto Avenida Río Churubusco, Distance: 63.5 meters, Time: 45.7 seconds
Name: Calle Paseo del Lago, Instruction: Turn left onto Calle Paseo del Lago, Distance: 435.3 meters, Time: 313.4 seconds
Name: Calle Raíz del Agua, Instruction: Turn right onto Calle Raíz del Agua, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 323.5 meters, Time: 232.9 seconds
Name: Calle Corteza, Instruction: Turn left onto Calle Corteza, Distance: 122.9 meters, Time: 88.5 seconds
Name: Calle Siete Cuevas, Instruction: Turn right onto Calle Siete Cuevas, Distance: 45.4 meters, Time: 32.7 seconds
Name: Calle Siete Cuevas, Instruction: Turn left onto Calle Siete Cuevas, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
