Name: Rue Victor Hugo, Instruction: Head southwest on Rue Victor Hugo, Distance: 197.0 meters, Time: 141.8 seconds
Name: Promenade Paul Doumer, Instruction: Turn left onto Promenade Paul Doumer, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.8 seconds
Name: Parc de Lattre de Tassigny, Instruction: Turn right onto Parc de Lattre de Tassigny, Distance: 141.9 meters, Time: 102.2 seconds
Name: Allée Boileau, Instruction: Turn left onto Allée Boileau, Distance: 78.7 meters, Time: 56.6 seconds
Name: Rue Molière, Instruction: Turn right onto Rue Molière, Distance: 56.9 meters, Time: 41.0 seconds
Name: Rue Molière, Instruction: Turn right onto Rue Molière, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: Rue Molière, Instruction: Turn right onto Rue Molière, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: Allée Jacques-Henri Lartigue, Instruction: Turn left onto Allée Jacques-Henri Lartigue, Distance: 89.4 meters, Time: 64.4 seconds
Name: Rue Carle Hébert, Instruction: Turn right onto Rue Carle Hébert, Distance: 217.9 meters, Time: 156.9 seconds
Name: Rue de Bezons, D 6, Instruction: Turn right onto Rue de Bezons, D 6, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 256.8 meters, Time: 184.9 seconds
Name: Allée Sainte-Odile, Instruction: Turn left onto Allée Sainte-Odile, Distance: 102.0 meters, Time: 73.5 seconds
Name: Avenue d'Alsace, Instruction: Turn left onto Avenue d'Alsace, Distance: 61.9 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep right, Distance: 8.3 meters, Time: 6.0 seconds
Name: Passerelle Louis Blanc, Instruction: Turn slight left onto Passerelle Louis Blanc, Distance: 15.7 meters, Time: 11.3 seconds
Name: Passerelle Louis Blanc, Instruction: Turn right onto Passerelle Louis Blanc, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 70.0 meters, Time: 50.4 seconds
Name: Place de l'Iris, Instruction: Turn left onto Place de l'Iris, Distance: 99.1 meters, Time: 71.3 seconds
Name: Esplanade Sud, Instruction: Continue straight onto Esplanade Sud, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Continue straight, Distance: 82.6 meters, Time: 59.4 seconds
Name: -, Instruction: Turn slight right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
