Name: East Road, Instruction: Head south on East Road, Distance: 368.0 meters, Time: 264.9 seconds
Name: Stratford Road, Instruction: Turn right onto Stratford Road, Distance: 20.8 meters, Time: 15.0 seconds
Name: Valetta Grove, Instruction: Turn left onto Valetta Grove, Distance: 196.3 meters, Time: 141.3 seconds
Name: Lettsom Walk, Instruction: Turn sharp left onto Lettsom Walk, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Keep right, Distance: 46.6 meters, Time: 33.5 seconds
Name: London Road, Instruction: Turn left onto London Road, Distance: 84.4 meters, Time: 60.8 seconds
Name: Upper Road, Instruction: Turn right onto Upper Road, Distance: 255.3 meters, Time: 183.8 seconds
Name: -, Instruction: Turn left, Distance: 289.3 meters, Time: 208.3 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: Solent Rise, Instruction: Turn right onto Solent Rise, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Arrive at Solent Rise, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
