Name: Rua Luiz Affonso Rodrigues, Instruction: Head north on Rua Luiz Affonso Rodrigues, Distance: 45.4 meters, Time: 32.7 seconds
Name: Avenida Joaquim Câmara Ferreira, Instruction: Turn left onto Avenida Joaquim Câmara Ferreira, Distance: 141.2 meters, Time: 101.7 seconds
Name: Estrada Sargento Miguel Filho, Instruction: Turn sharp right onto Estrada Sargento Miguel Filho, Distance: 178.0 meters, Time: 128.1 seconds
Name: Avenida Central, Instruction: Turn left onto Avenida Central, Distance: 7.1 meters, Time: 5.1 seconds
Name: Avenida Central, Instruction: Turn slight right onto Avenida Central, Distance: 361.5 meters, Time: 260.3 seconds
Name: Avenida Brasil, Instruction: Turn left onto Avenida Brasil, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 174.2 meters, Time: 125.4 seconds
Name: -, Instruction: Keep left, Distance: 14.2 meters, Time: 10.2 seconds
Name: Avenida Brasil, Instruction: Turn slight right onto Avenida Brasil, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Turn left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 113.3 meters, Time: 81.5 seconds
Name: Estrada do Quafá, Instruction: Turn sharp left onto Estrada do Quafá, Distance: 12.0 meters, Time: 8.6 seconds
Name: Rua C Conjunto Taquaral Geahb, Instruction: Turn right onto Rua C Conjunto Taquaral Geahb, Distance: 374.2 meters, Time: 269.4 seconds
Name: Rua Henrique Sousa Queirós, Instruction: Turn right onto Rua Henrique Sousa Queirós, Distance: 42.9 meters, Time: 30.9 seconds
Name: Rua Joaquim Coutinho Cavalcanti, Instruction: Turn sharp left onto Rua Joaquim Coutinho Cavalcanti, Distance: 257.4 meters, Time: 185.3 seconds
Name: Rua dos Cartunistas, Instruction: Turn left onto Rua dos Cartunistas, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Arrive at Rua dos Cartunistas, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
