Name: Rua Tanicredo de Ameida Neves, Instruction: Head southeast on Rua Tanicredo de Ameida Neves, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Continue straight, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 172.4 meters, Time: 124.2 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn slight right, Distance: 178.8 meters, Time: 128.7 seconds
Name: -, Instruction: Turn slight left, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 60.2 meters, Time: 43.4 seconds
Name: Rua André Rocha, Instruction: Turn sharp left onto Rua André Rocha, Distance: 16.2 meters, Time: 11.6 seconds
Name: Rua Juranda, Instruction: Turn sharp right onto Rua Juranda, Distance: 11.6 meters, Time: 8.3 seconds
Name: Rua Juranda, Instruction: Keep left onto Rua Juranda, Distance: 677.7 meters, Time: 488.0 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn slight right, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Keep left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
