Name: Swan Lane, Instruction: Head southwest on Swan Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn left, Distance: 183.7 meters, Time: 132.3 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Keep left, Distance: 174.5 meters, Time: 125.6 seconds
Name: -, Instruction: Keep left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Keep right, Distance: 665.3 meters, Time: 479.0 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
