Name: East 71st Avenue, Instruction: Head west on East 71st Avenue, Distance: 181.5 meters, Time: 130.7 seconds
Name: Washington Street, Instruction: Turn right onto Washington Street, Distance: 337.2 meters, Time: 242.8 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 119.3 meters, Time: 85.9 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: Washington Street, Instruction: Turn right onto Washington Street, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 36.5 meters, Time: 26.3 seconds
Name: Washington Street, Instruction: Turn slight left onto Washington Street, Distance: 62.0 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
