Name: Service Road, Instruction: Head west on Service Road, Distance: 418.4 meters, Time: 301.2 seconds
Name: -, Instruction: Turn right, Distance: 67.5 meters, Time: 48.6 seconds
Name: Marine Circle, Instruction: Turn right onto Marine Circle, Distance: 23.0 meters, Time: 16.5 seconds
Name: Marine Circle, Instruction: Turn left onto Marine Circle, Distance: 50.5 meters, Time: 36.4 seconds
Name: Marine Circle, Instruction: Turn left onto Marine Circle, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Marine Circle, Instruction: Turn left onto Marine Circle, Distance: 8.3 meters, Time: 6.0 seconds
Name: Porterfield Road, Instruction: Turn right onto Porterfield Road, Distance: 176.6 meters, Time: 127.2 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
