Name: Ruth-Drexel-Straße, Instruction: Head west on Ruth-Drexel-Straße, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.3 seconds
Name: -, Instruction: Turn left, Distance: 51.9 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 171.0 meters, Time: 123.1 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: Salzsenderweg, Instruction: Turn left onto Salzsenderweg, Distance: 191.7 meters, Time: 138.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: An der Salzbrücke, Instruction: Turn left onto An der Salzbrücke, Distance: 140.1 meters, Time: 100.9 seconds
Name: An der Salzbrücke, Instruction: Continue straight onto An der Salzbrücke, Distance: 301.8 meters, Time: 217.3 seconds
Name: Oberföhringer Straße, Instruction: Turn left onto Oberföhringer Straße, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: Oberföhringer Straße, Instruction: Turn right onto Oberföhringer Straße, Distance: 299.6 meters, Time: 215.7 seconds
Name: Pernerkreppe, Instruction: Turn left onto Pernerkreppe, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Arrive at Pernerkreppe, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
