Name: Torrens Avenue, Instruction: Head east on Torrens Avenue, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Turn left, Distance: 281.4 meters, Time: 202.6 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 302.0 meters, Time: 217.5 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 302.5 meters, Time: 217.8 seconds
Name: -, Instruction: Keep left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 117.8 meters, Time: 84.8 seconds
Name: -, Instruction: Turn slight left, Distance: 173.8 meters, Time: 125.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
