Name: Kenning Street, Instruction: Head southwest on Kenning Street, Distance: 14.8 meters, Time: 10.7 seconds
Name: Railway Avenue, Instruction: Turn left onto Railway Avenue, Distance: 106.6 meters, Time: 76.8 seconds
Name: Albion Street, Instruction: Turn right onto Albion Street, Distance: 219.5 meters, Time: 158.0 seconds
Name: Neptune Street, Instruction: Turn left onto Neptune Street, Distance: 217.7 meters, Time: 156.8 seconds
Name: -, Instruction: Turn left, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 183.8 meters, Time: 132.3 seconds
Name: Lower Road, Instruction: Continue straight onto Lower Road, Distance: 34.4 meters, Time: 24.8 seconds
Name: Lower Road, Instruction: Turn right onto Lower Road, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Keep right, Distance: 211.1 meters, Time: 152.0 seconds
Name: -, Instruction: Turn left, Distance: 421.2 meters, Time: 303.2 seconds
Name: -, Instruction: Turn left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: Rotherhithe New Road, Instruction: Turn right onto Rotherhithe New Road, Distance: 18.9 meters, Time: 13.6 seconds
Name: Rotherhithe New Road, Instruction: Keep left onto Rotherhithe New Road, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Arrive at Rotherhithe New Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
