Name: Rue des Abbesses, Instruction: Head northwest on Rue des Abbesses, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue Ravignan, Instruction: Turn right onto Rue Ravignan, Distance: 3.8 meters, Time: 2.7 seconds
Name: Rue Ravignan, Instruction: Turn left onto Rue Ravignan, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue Ravignan, Instruction: Continue straight onto Rue Ravignan, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Ravignan, Instruction: Continue straight onto Rue Ravignan, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Keep right, Distance: 36.7 meters, Time: 26.4 seconds
Name: Rue Ravignan, Instruction: Turn slight left onto Rue Ravignan, Distance: 13.4 meters, Time: 9.6 seconds
Name: Rue d'Orchampt, Instruction: Turn left onto Rue d'Orchampt, Distance: 146.9 meters, Time: 105.8 seconds
Name: Rue Lepic, Instruction: Turn right onto Rue Lepic, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: Place Marcel Aymé, Instruction: Turn left onto Place Marcel Aymé, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: Rue Girardon, Instruction: Turn right onto Rue Girardon, Distance: 84.0 meters, Time: 60.5 seconds
Name: Place Dalida, Instruction: Turn left onto Place Dalida, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: Rue Françoise Gilot, Instruction: Continue straight onto Rue Françoise Gilot, Distance: 8.1 meters, Time: 5.9 seconds
Name: Rue Françoise Gilot, Instruction: Continue straight onto Rue Françoise Gilot, Distance: 14.4 meters, Time: 10.4 seconds
Name: Place Constantin Pecqueur, Instruction: Turn right onto Place Constantin Pecqueur, Distance: 9.7 meters, Time: 7.0 seconds
Name: Place Constantin Pecqueur, Instruction: Turn left onto Place Constantin Pecqueur, Distance: 70.1 meters, Time: 50.4 seconds
Name: Rue Pierre Dac, Instruction: Continue straight onto Rue Pierre Dac, Distance: 21.4 meters, Time: 15.4 seconds
Name: Rue Pierre Dac, Instruction: Turn left onto Rue Pierre Dac, Distance: 22.3 meters, Time: 16.1 seconds
Name: Rue Lamarck, Instruction: Turn right onto Rue Lamarck, Distance: 3.1 meters, Time: 2.2 seconds
Name: Rue de la Fontaine du But, Instruction: Turn left onto Rue de la Fontaine du But, Distance: 152.0 meters, Time: 109.4 seconds
Name: Place Robert Verdier, Instruction: Keep left onto Place Robert Verdier, Distance: 27.3 meters, Time: 19.7 seconds
Name: Rue du Ruisseau, Instruction: Continue straight onto Rue du Ruisseau, Distance: 386.1 meters, Time: 278.0 seconds
Name: Rue du Poteau, Instruction: Turn left onto Rue du Poteau, Distance: 255.4 meters, Time: 183.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 131.0 meters, Time: 94.3 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Rue Marcel Sembat, Instruction: Turn left onto Rue Marcel Sembat, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Continue straight, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
