Name: Rua Etelvina, Instruction: Head northwest on Rua Etelvina, Distance: 316.1 meters, Time: 227.6 seconds
Name: Rua Uranos, Instruction: Turn sharp right onto Rua Uranos, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 171.4 meters, Time: 123.4 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn slight left, Distance: 27.9 meters, Time: 20.1 seconds
Name: Rua Leopoldina Rego, Instruction: Turn left onto Rua Leopoldina Rego, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Keep right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
