Name: Yates Road, Instruction: Head northwest on Yates Road, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 153.4 meters, Time: 110.5 seconds
Name: Chalfont Street, Instruction: Turn left onto Chalfont Street, Distance: 232.5 meters, Time: 167.4 seconds
Name: Royton Avenue, Instruction: Turn sharp right onto Royton Avenue, Distance: 224.4 meters, Time: 161.6 seconds
Name: Buckland Road, Instruction: Turn right onto Buckland Road, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 194.9 meters, Time: 140.3 seconds
Name: -, Instruction: Turn left, Distance: 117.1 meters, Time: 84.3 seconds
Name: Lyncroft Street, Instruction: Turn right onto Lyncroft Street, Distance: 434.5 meters, Time: 312.8 seconds
Name: -, Instruction: Turn left, Distance: 361.2 meters, Time: 260.1 seconds
Name: -, Instruction: Keep left, Distance: 479.8 meters, Time: 345.5 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
