Name: Orchard Road, Instruction: Head north on Orchard Road, Distance: 91.1 meters, Time: 65.6 seconds
Name: Seldon Lane, Instruction: Turn sharp left onto Seldon Lane, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Continue straight, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Continue straight, Distance: 138.8 meters, Time: 100.0 seconds
Name: -, Instruction: Keep right, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Keep right, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 100.2 meters, Time: 72.1 seconds
Name: -, Instruction: Turn slight right, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Keep left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn slight right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 235.7 meters, Time: 169.7 seconds
Name: -, Instruction: Turn right, Distance: 224.4 meters, Time: 161.6 seconds
Name: -, Instruction: Keep right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep left, Distance: 413.3 meters, Time: 297.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 34.6 meters, Time: 24.9 seconds
Name: Boundary Street, Instruction: Turn slight left onto Boundary Street, Distance: 313.7 meters, Time: 225.8 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
