Name: Schmaedelstraße, Instruction: Head west on Schmaedelstraße, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 59.5 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Nusselstraße, Instruction: Turn right onto Nusselstraße, Distance: 207.4 meters, Time: 149.3 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Keep right, Distance: 394.3 meters, Time: 283.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: Georg-Habel-Straße, Instruction: Turn left onto Georg-Habel-Straße, Distance: 430.1 meters, Time: 309.7 seconds
Name: Maierhofstraße, Instruction: Turn right onto Maierhofstraße, Distance: 225.7 meters, Time: 162.5 seconds
Name: -, Instruction: Arrive at Maierhofstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
