Name: Dingle Road, Instruction: Head west on Dingle Road, Distance: 66.5 meters, Time: 47.9 seconds
Name: Church Road, Instruction: Turn left onto Church Road, Distance: 277.8 meters, Time: 200.0 seconds
Name: Station Road, Instruction: Turn left onto Station Road, Distance: 74.6 meters, Time: 53.7 seconds
Name: McDonald Street, Instruction: Turn right onto McDonald Street, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 251.8 meters, Time: 181.3 seconds
Name: Sakabula Circle, Instruction: Turn right onto Sakabula Circle, Distance: 46.5 meters, Time: 33.5 seconds
Name: Paul Kruger Avenue, Instruction: Turn left onto Paul Kruger Avenue, Distance: 524.7 meters, Time: 377.7 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Keep right, Distance: 80.1 meters, Time: 57.7 seconds
Name: Livingstone Avenue, Instruction: Continue straight onto Livingstone Avenue, Distance: 501.6 meters, Time: 361.1 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn slight right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: Thor Street, Instruction: Turn left onto Thor Street, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Turn left, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
