Name: Dorothy Street, Instruction: Head north on Dorothy Street, Distance: 302.6 meters, Time: 217.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 281.2 meters, Time: 202.4 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 417.4 meters, Time: 300.5 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 295.0 meters, Time: 212.4 seconds
Name: Hallmark Street, Instruction: Turn right onto Hallmark Street, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
