Name: Borschtallee, Instruction: Head south on Borschtallee, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Angererstraße, Instruction: Turn right onto Angererstraße, Distance: 95.9 meters, Time: 69.1 seconds
Name: Erich-Kästner-Straße, Instruction: Turn slight right onto Erich-Kästner-Straße, Distance: 594.8 meters, Time: 428.3 seconds
Name: Hohenzollernplatz, Instruction: Turn right onto Hohenzollernplatz, Distance: 12.0 meters, Time: 8.7 seconds
Name: Hohenzollernplatz, Instruction: Turn left onto Hohenzollernplatz, Distance: 517.6 meters, Time: 372.7 seconds
Name: Georgenstraße, Instruction: Turn right onto Georgenstraße, Distance: 79.5 meters, Time: 57.3 seconds
Name: Adelheidstraße, Instruction: Turn left onto Adelheidstraße, Distance: 110.7 meters, Time: 79.7 seconds
Name: Josephsplatz, Instruction: Turn left onto Josephsplatz, Distance: 54.2 meters, Time: 39.0 seconds
Name: Josephsplatz, Instruction: Turn right onto Josephsplatz, Distance: 5.7 meters, Time: 4.1 seconds
Name: Josephsplatz, Instruction: Turn sharp left onto Josephsplatz, Distance: 9.3 meters, Time: 6.7 seconds
Name: Augustenstraße, Instruction: Turn right onto Augustenstraße, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.7 seconds
Name: -, Instruction: Keep right, Distance: 86.5 meters, Time: 62.3 seconds
Name: Schellingstraße, Instruction: Turn left onto Schellingstraße, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Heßstraße, Instruction: Turn left onto Heßstraße, Distance: 4.0 meters, Time: 2.9 seconds
Name: Steinickeweg, Instruction: Turn right onto Steinickeweg, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Arrive at Steinickeweg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
