Name: Rakaia Rise, Instruction: Head south on Rakaia Rise, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 467.6 meters, Time: 336.7 seconds
Name: Hollyford Drive, Instruction: Turn right onto Hollyford Drive, Distance: 18.2 meters, Time: 13.1 seconds
Name: Redoubt Road, Instruction: Turn slight right onto Redoubt Road, Distance: 486.5 meters, Time: 350.3 seconds
Name: Redoubt Road, Instruction: Keep left onto Redoubt Road, Distance: 369.7 meters, Time: 266.2 seconds
Name: -, Instruction: Keep left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Keep right, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn left, Distance: 92.7 meters, Time: 66.8 seconds
Name: Leyton Way, Instruction: Turn right onto Leyton Way, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
