Name: Barratt Avenue, Instruction: Head north on Barratt Avenue, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 302.9 meters, Time: 218.1 seconds
Name: -, Instruction: Keep left, Distance: 128.1 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Keep left, Distance: 194.1 meters, Time: 139.8 seconds
Name: -, Instruction: Keep left, Distance: 332.9 meters, Time: 239.7 seconds
Name: -, Instruction: Keep left, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Keep right, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Keep right, Distance: 10.6 meters, Time: 7.6 seconds
Name: Granville Road, Instruction: Turn left onto Granville Road, Distance: 292.6 meters, Time: 210.7 seconds
Name: Ellenborough Road, Instruction: Turn left onto Ellenborough Road, Distance: 92.3 meters, Time: 66.5 seconds
Name: New Road, Instruction: Turn right onto New Road, Distance: 213.5 meters, Time: 153.7 seconds
Name: -, Instruction: Turn slight left, Distance: 329.6 meters, Time: 237.3 seconds
Name: Risley Avenue, Instruction: Enter the roundabout and take the 2nd exit onto Risley Avenue, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
