Name: Havelock Road, Instruction: Head east on Havelock Road, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Turn right, Distance: 279.0 meters, Time: 200.9 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn left, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Tiong Bahru Road, Instruction: Turn right onto Tiong Bahru Road, Distance: 145.2 meters, Time: 104.5 seconds
Name: Outram Road, Instruction: Keep left onto Outram Road, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Keep right, Distance: 11.8 meters, Time: 8.5 seconds
Name: Outram Road, Instruction: Turn right onto Outram Road, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
