Name: Rushmere, Instruction: Head south on Rushmere, Distance: 21.9 meters, Time: 15.8 seconds
Name: Doordrift Road, Instruction: Turn right onto Doordrift Road, Distance: 88.4 meters, Time: 63.7 seconds
Name: Deurdrift Walk, Instruction: Turn right onto Deurdrift Walk, Distance: 849.4 meters, Time: 611.6 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 271.7 meters, Time: 195.6 seconds
Name: -, Instruction: Keep right, Distance: 104.2 meters, Time: 75.0 seconds
Name: Alphen Drive, Instruction: Turn sharp right onto Alphen Drive, Distance: 38.4 meters, Time: 27.7 seconds
Name: Alphen Drive, Instruction: Keep left onto Alphen Drive, Distance: 17.6 meters, Time: 12.7 seconds
Name: Alphen Drive, Instruction: Enter the roundabout and take the 1st exit onto Alphen Drive, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn left, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
