Name: Rue des Lumières, Instruction: Head north on Rue des Lumières, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight right, Distance: 127.9 meters, Time: 92.1 seconds
Name: -, Instruction: Keep left, Distance: 169.1 meters, Time: 121.8 seconds
Name: -, Instruction: Turn slight right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Keep left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 200.7 meters, Time: 144.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 196.1 meters, Time: 141.2 seconds
Name: Rue de Romainville, Instruction: Turn left onto Rue de Romainville, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Arrive at Rue de Romainville, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
