Name: Rua Relicário, Instruction: Head south on Rua Relicário, Distance: 65.7 meters, Time: 47.3 seconds
Name: Rua Carmem Cinira, Instruction: Turn left onto Rua Carmem Cinira, Distance: 134.7 meters, Time: 97.0 seconds
Name: Rua Um, Instruction: Keep left onto Rua Um, Distance: 212.5 meters, Time: 153.0 seconds
Name: Rua Dois, Instruction: Turn right onto Rua Dois, Distance: 62.3 meters, Time: 44.9 seconds
Name: Rua Ibirapitanga, Instruction: Turn left onto Rua Ibirapitanga, Distance: 275.7 meters, Time: 198.5 seconds
Name: Rua Tangapeme, Instruction: Continue straight onto Rua Tangapeme, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Keep left, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Keep right, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: Rua Antônio Austregésilo, Instruction: Turn sharp left onto Rua Antônio Austregésilo, Distance: 19.5 meters, Time: 14.0 seconds
Name: Rua Novo Paraíso, Instruction: Turn right onto Rua Novo Paraíso, Distance: 106.2 meters, Time: 76.5 seconds
Name: Rua Novo Paraíso, Instruction: Continue straight onto Rua Novo Paraíso, Distance: 65.7 meters, Time: 47.3 seconds
Name: Rua Augusto Austragesilo, Instruction: Turn left onto Rua Augusto Austragesilo, Distance: 2.5 meters, Time: 1.8 seconds
Name: Rua Augusto Austragesilo, Instruction: Continue straight onto Rua Augusto Austragesilo, Distance: 54.9 meters, Time: 39.5 seconds
Name: Rua Altino, Instruction: Turn right onto Rua Altino, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 40.4 meters, Time: 29.1 seconds
Name: Travessa Sonora, Instruction: Turn left onto Travessa Sonora, Distance: 37.6 meters, Time: 27.0 seconds
Name: -, Instruction: Continue straight, Distance: 119.9 meters, Time: 86.3 seconds
Name: Rua Gonçalves Dias, Instruction: Turn sharp left onto Rua Gonçalves Dias, Distance: 44.4 meters, Time: 32.0 seconds
Name: Rua da Alvorada, Instruction: Turn sharp right onto Rua da Alvorada, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Keep left, Distance: 20.4 meters, Time: 14.7 seconds
Name: Rua da Alvorada, Instruction: Continue straight onto Rua da Alvorada, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 298.7 meters, Time: 215.0 seconds
Name: Rua B, Instruction: Turn left onto Rua B, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Arrive at Rua B, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
