Name: Avenue du Château, Instruction: Head south on Avenue du Château, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 82.0 meters, Time: 59.1 seconds
Name: Place de l'Église, Instruction: Turn right onto Place de l'Église, Distance: 60.0 meters, Time: 43.2 seconds
Name: Rue Raymond du Temple, Instruction: Keep left onto Rue Raymond du Temple, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Keep left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Keep left, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: Place du Général-Leclerc, Instruction: Turn right onto Place du Général-Leclerc, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 75.4 meters, Time: 54.3 seconds
Name: Avenue Foch, Instruction: Turn left onto Avenue Foch, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Keep right, Distance: 187.0 meters, Time: 134.6 seconds
Name: -, Instruction: Keep left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Keep right, Distance: 120.6 meters, Time: 86.8 seconds
Name: Route de la Dame Blanche, Instruction: Turn slight left onto Route de la Dame Blanche, Distance: 8.7 meters, Time: 6.2 seconds
Name: Avenue de la Dame Blanche, Instruction: Continue straight onto Avenue de la Dame Blanche, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 172.3 meters, Time: 124.0 seconds
Name: Route du Grand Maréchal, Instruction: Keep right onto Route du Grand Maréchal, Distance: 352.6 meters, Time: 253.9 seconds
Name: Route des Dames, Instruction: Turn right onto Route des Dames, Distance: 160.3 meters, Time: 115.4 seconds
Name: Avenue de Nogent, Instruction: Turn left onto Avenue de Nogent, Distance: 363.8 meters, Time: 261.9 seconds
Name: Route de la Porte Jaune, Instruction: Keep right onto Route de la Porte Jaune, Distance: 25.2 meters, Time: 18.1 seconds
Name: Route de la Porte Jaune, Instruction: Keep right onto Route de la Porte Jaune, Distance: 71.1 meters, Time: 51.2 seconds
Name: Route Circulaire, Instruction: Turn left onto Route Circulaire, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
