Name: Bowmore Road, Instruction: Head north on Bowmore Road, Distance: 83.8 meters, Time: 60.4 seconds
Name: Icemasters Lane, Instruction: Turn right onto Icemasters Lane, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Keep left, Distance: 93.7 meters, Time: 67.4 seconds
Name: -, Instruction: Keep left, Distance: 172.3 meters, Time: 124.1 seconds
Name: -, Instruction: Keep left, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn left, Distance: 673.5 meters, Time: 484.9 seconds
Name: Strathmore Boulevard, Instruction: Turn right onto Strathmore Boulevard, Distance: 90.0 meters, Time: 64.8 seconds
Name: Coleridge Avenue, Instruction: Turn left onto Coleridge Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Cedarvale Avenue, Instruction: Turn left onto Cedarvale Avenue, Distance: 524.1 meters, Time: 377.4 seconds
Name: -, Instruction: Arrive at Cedarvale Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
