Name: Davies Street, Instruction: Head south on Davies Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 314.4 meters, Time: 226.3 seconds
Name: Price Street, Instruction: Turn right onto Price Street, Distance: 62.2 meters, Time: 44.8 seconds
Name: Harcus Street, Instruction: Turn left onto Harcus Street, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: Creer Street, Instruction: Turn left onto Creer Street, Distance: 7.1 meters, Time: 5.1 seconds
Name: Desmond Street, Instruction: Turn right onto Desmond Street, Distance: 208.5 meters, Time: 150.1 seconds
Name: -, Instruction: Turn left, Distance: 268.9 meters, Time: 193.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
