Name: Netzerstraße, Instruction: Head south on Netzerstraße, Distance: 468.3 meters, Time: 337.2 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 165.4 meters, Time: 119.1 seconds
Name: -, Instruction: Turn right, Distance: 268.8 meters, Time: 193.6 seconds
Name: In den Kirschen, Instruction: Turn left onto In den Kirschen, Distance: 64.4 meters, Time: 46.4 seconds
Name: Frauenwörther Straße, Instruction: Continue straight onto Frauenwörther Straße, Distance: 57.1 meters, Time: 41.1 seconds
Name: Mettenstraße, Instruction: Turn right onto Mettenstraße, Distance: 138.3 meters, Time: 99.6 seconds
Name: Dießener Straße, Instruction: Turn left onto Dießener Straße, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Arrive at Dießener Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
