Name: East 103rd Place, Instruction: Head east on East 103rd Place, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn slight left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 199.1 meters, Time: 143.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.4 meters, Time: 27.7 seconds
Name: 104th MUP, Instruction: Turn right onto 104th MUP, Distance: 39.4 meters, Time: 28.4 seconds
Name: 104th MUP, Instruction: Turn left onto 104th MUP, Distance: 9.7 meters, Time: 7.0 seconds
Name: 104th MUP, Instruction: Turn right onto 104th MUP, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
